<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.09	08:30:00	1.05336	1.05375	1.05331	1.05365	836	0	14
2024.12.09	09:00:00	1.05366	1.05413	1.05358	1.05391	966	0	14
2024.12.09	09:30:00	1.05392	1.05442	1.05392	1.05436	1180	0	14
2024.12.09	10:00:00	1.05435	1.05561	1.05404	1.05534	2004	0	14
2024.12.09	10:30:00	1.05535	1.05657	1.05468	1.05636	3218	0	14
2024.12.09	11:00:00	1.05635	1.05657	1.05559	1.05634	3643	0	14
2024.12.09	11:30:00	1.05635	1.05697	1.05560	1.05668	3005	0	14
2024.12.09	12:00:00	1.05667	1.05744	1.05648	1.05724	2513	0	14
2024.12.09	12:30:00	1.05723	1.05735	1.05609	1.05655	1992	0	14
2024.12.09	13:00:00	1.05656	1.05840	1.05656	1.05802	2555	0	14
2024.12.09	13:30:00	1.05801	1.05848	1.05784	1.05798	1953	0	14
2024.12.09	14:00:00	1.05797	1.05843	1.05787	1.05799	1813	0	14
2024.12.09	14:30:00	1.05798	1.05802	1.05668	1.05682	1798	0	14
2024.12.09	15:00:00	1.05681	1.05706	1.05615	1.05657	1963	0	14
2024.12.09	15:30:00	1.05658	1.05669	1.05572	1.05650	2102	0	14
2024.12.09	16:00:00	1.05651	1.05708	1.05576	1.05696	3088	0	14
2024.12.09	16:30:00	1.05697	1.05771	1.05692	1.05754	3110	0	14
2024.12.09	17:00:00	1.05755	1.05841	1.05710	1.05781	2822	0	14
2024.12.09	17:30:00	1.05782	1.05820	1.05720	1.05775	3527	0	14
2024.12.09	18:00:00	1.05776	1.05800	1.05712	1.05745	2850	0	14
2024.12.09	18:30:00	1.05744	1.05922	1.05744	1.05904	2931	0	14
2024.12.09	19:00:00	1.05905	1.05938	1.05769	1.05811	2326	0	14
2024.12.09	19:30:00	1.05812	1.05839	1.05675	1.05697	1804	0	14
2024.12.09	20:00:00	1.05696	1.05738	1.05668	1.05685	1781	0	14
2024.12.09	20:30:00	1.05683	1.05719	1.05660	1.05662	1017	0	14
2024.12.09	21:00:00	1.05661	1.05670	1.05616	1.05627	1019	0	14
2024.12.09	21:30:00	1.05624	1.05652	1.05597	1.05630	1401	0	14
2024.12.09	22:00:00	1.05629	1.05639	1.05564	1.05571	964	0	14
2024.12.09	22:30:00	1.05570	1.05604	1.05510	1.05545	1598	0	14
2024.12.09	23:00:00	1.05546	1.05570	1.05465	1.05466	1519	0	14
2024.12.09	23:30:00	1.05466	1.05499	1.05464	1.05482	890	0	14
2024.12.10	00:00:00	1.05531	1.05531	1.05496	1.05521	465	0	14
2024.12.10	00:30:00	1.05522	1.05539	1.05501	1.05528	732	0	14
2024.12.10	01:00:00	1.05528	1.05537	1.05482	1.05524	190	0	15
2024.12.10	01:30:00	1.05524	1.05549	1.05501	1.05541	964	0	14
2024.12.10	02:00:00	1.05540	1.05546	1.05527	1.05527	396	0	14
2024.12.10	02:30:00	1.05528	1.05566	1.05522	1.05536	448	0	14
2024.12.10	03:00:00	1.05537	1.05539	1.05484	1.05517	987	0	14
2024.12.10	03:30:00	1.05516	1.05534	1.05490	1.05523	1265	0	14
2024.12.10	04:00:00	1.05524	1.05527	1.05467	1.05485	1356	0	14
2024.12.10	04:30:00	1.05484	1.05530	1.05446	1.05523	1473	0	14
2024.12.10	05:00:00	1.05523	1.05608	1.05523	1.05537	1562	0	14
2024.12.10	05:30:00	1.05538	1.05580	1.05510	1.05527	1586	0	14
2024.12.10	06:00:00	1.05526	1.05540	1.05499	1.05521	1206	0	14
2024.12.10	06:30:00	1.05523	1.05571	1.05482	1.05558	1785	0	14
2024.12.10	07:00:00	1.05559	1.05592	1.05556	1.05572	1191	0	14
2024.12.10	07:30:00	1.05571	1.05594	1.05565	1.05570	1369	0	14
2024.12.10	08:00:00	1.05569	1.05588	1.05534	1.05546	1128	0	14
2024.12.10	08:30:00	1.05547	1.05620	1.05545	1.05613	1216	0	14
2024.12.10	09:00:00	1.05612	1.05666	1.05602	1.05663	1342	0	14
2024.12.10	09:30:00	1.05664	1.05675	1.05613	1.05654	1440	0	14
2024.12.10	10:00:00	1.05653	1.05653	1.05555	1.05595	1685	0	14
2024.12.10	10:30:00	1.05594	1.05621	1.05463	1.05481	2099	0	14
2024.12.10	11:00:00	1.05482	1.05509	1.05384	1.05464	2713	0	14
2024.12.10	11:30:00	1.05465	1.05490	1.05371	1.05371	2222	0	14
2024.12.10	12:00:00	1.05370	1.05376	1.05251	1.05255	2427	0	14
2024.12.10	12:30:00	1.05254	1.05353	1.05224	1.05305	2490	0	14
2024.12.10	13:00:00	1.05304	1.05372	1.05264	1.05295	1966	0	14
2024.12.10	13:30:00	1.05293	1.05337	1.05252	1.05274	2220	0	14
2024.12.10	14:00:00	1.05273	1.05323	1.05233	1.05317	2151	0	14
2024.12.10	14:30:00	1.05321	1.05323	1.05274	1.05307	1825	0	14
2024.12.10	15:00:00	1.05308	1.05332	1.05204	1.05225	2295	0	14
2024.12.10	15:30:00	1.05226	1.05326	1.05197	1.05300	2375	0	14
2024.12.10	16:00:00	1.05301	1.05313	1.05151	1.05205	2764	0	14
2024.12.10	16:30:00	1.05205	1.05278	1.05176	1.05224	2647	0	14
2024.12.10	17:00:00	1.05227	1.05291	1.05208	1.05268	2495	0	14
2024.12.10	17:30:00	1.05267	1.05306	1.05188	1.05190	3585	0	14
2024.12.10	18:00:00	1.05191	1.05251	1.05001	1.05022	3954	0	14
2024.12.10	18:30:00	1.05021	1.05126	1.04978	1.05031	3561	0	14
2024.12.10	19:00:00	1.05032	1.05098	1.04991	1.05066	3008	0	14
2024.12.10	19:30:00	1.05065	1.05120	1.04998	1.05110	2166	0	14
2024.12.10	20:00:00	1.05111	1.05161	1.05072	1.05080	1807	0	14
2024.12.10	20:30:00	1.05079	1.05130	1.05040	1.05090	1704	0	14
2024.12.10	21:00:00	1.05091	1.05190	1.05080	1.05185	1691	0	14
2024.12.10	21:30:00	1.05186	1.05262	1.05185	1.05248	1456	0	14
2024.12.10	22:00:00	1.05249	1.05306	1.05242	1.05261	1472	0	14
2024.12.10	22:30:00	1.05260	1.05275	1.05236	1.05261	1169	0	14
2024.12.10	23:00:00	1.05262	1.05277	1.05232	1.05262	1272	0	14
2024.12.10	23:30:00	1.05262	1.05301	1.05255	1.05255	1125	0	14
2024.12.11	00:00:00	1.05244	1.05278	1.05231	1.05264	375	0	14
2024.12.11	00:30:00	1.05264	1.05282	1.05252	1.05267	631	0	14
2024.12.11	01:00:00	1.05267	1.05282	1.05247	1.05276	218	0	14
2024.12.11	01:30:00	1.05276	1.05289	1.05264	1.05281	208	0	14
2024.12.11	02:00:00	1.05282	1.05312	1.05280	1.05310	430	0	14
2024.12.11	02:30:00	1.05311	1.05313	1.05300	1.05305	341	0	14
2024.12.11	03:00:00	1.05306	1.05312	1.05269	1.05277	738	0	14
2024.12.11	03:30:00	1.05276	1.05317	1.05273	1.05282	1064	0	14
2024.12.11	04:00:00	1.05283	1.05333	1.05275	1.05331	1550	0	14
2024.12.11	04:30:00	1.05332	1.05349	1.05311	1.05340	1581	0	14
2024.12.11	05:00:00	1.05340	1.05387	1.05323	1.05376	1246	0	14
2024.12.11	05:30:00	1.05377	1.05382	1.05331	1.05362	1093	0	14
2024.12.11	06:00:00	1.05363	1.05370	1.05276	1.05305	1081	0	14
2024.12.11	06:30:00	1.05304	1.05311	1.05271	1.05275	1017	0	14
